id,content,label
1,急找孩子，求转，求帮忙实验小学寻人启事13940292999。有线索酬金10万帮忙扩散，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到联系人宁继春13940292999,1
2,老虎咬死人，动物园要赔偿吗？周锋据央视报道，2016年7月23日15时许，在北京延庆八达岭野生动物园内，两名自驾游女游客在猛兽区下车后，被老虎袭击，造成一死一伤。根据公布的监控视频显示，当时一辆...（使用@金果长微博分享）,0
3,教育部：2018考研12月23日开考考生人数238万！2018年全国硕士研究生招生考试将于12月23日至25日举行，今年报考人数238万人，比2017年增加37万人，其中，应届考生131万人，比去年增加18万人，往届考生107万人，比去年增加19万人。老铁们，明天开考，加油！,0
4,【海航允许携带宠物进入客舱统一收费800元】18日，海南航空试行“客舱运输宠物”服务，要求：家养猫、狗，6个月以上、健康、未孕。每只收费800元。旅客需为宠物佩戴口套、穿戴纸尿裤，并全程将其置于宠物箱中，不得喂食，并自行承担看管责任。其他乘客如不想挨着宠物，可申请调换座位。（北京青年报）,0
5,#微信收费标准#在工信部，运营商双重压力下，小马哥最终没能顶住，微信收费将于7月1日开始，收费标准信息5分/条，语音1毛/条，按这样的标准有多少人会放弃微信？其实中国人的微信使用已经包含了流量费，如果微信收费那么微博没理由不收费。大家转起来，让那些眼馋着不该眼馋的人士无地自容,1
6,妇幼保健院通知：现在得白血病的小孩越来越多妇幼保健院提示您请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料告诉家里有小孩的朋友旺仔牛奶可口可乐爽歪歪娃哈哈AD钙奶未来星QQ星美汁源果粒奶优菠萝味的。都含有肉毒杆菌现在紧急召回有孩子的都转下没有孩子的也请友情转转大家行动起来传递一份我们的爱心！,1
7,【出于好奇“按一下试试”男子按响地铁“急停”按钮】17日，杭州地铁庆菱路站，一名男子按下了紧急停车按钮后逃离。据警方调查：男子姓储（29岁，安徽籍），储某某交代，他是看到紧急停车按钮内的“急停”二字，抱着“不知道真的假的，按一下试试”的心理，将按钮保护玻璃抠破后按下按钮，听到急停报警声后逃离。因涉嫌扰乱单位秩序，储某某被地铁分局处以行政罚款。1818黄金眼...（1818黄金眼）,0
8,大家帮忙转发一下呗！谢了找一名职中学生，叫刘冻雪，16岁，请速回鲁甸县医院，妈妈伤的很严重，想最后见她一面，姐姐号码：13751977218，爱心接力，不转对不起自己，好人有好报2五童路,1
9,【高速发生严重车祸博友实拍太可怕了】2017年1月16日，哈尔滨到绥化的高速公路因大雪近百辆车相撞，视频中不停的有车从后面高速冲撞上来。大过年的祈福大家平安无事。Happy张江...（，免流量看热门短视频！）,0
10,#传乔任梁死亡#”证实了，此前警方通报里的男性乔某某正是演员乔任梁。据警方通报，乔的死亡排除他杀，此前据传乔任梁患有严重抑郁症，也有爆料称是用塑料袋套住头引发窒息而死，也有说是与什么导演玩sm具体死因不要去猜测了，愿死者安息还有微信的人也是够了#重庆这些事#,1
